participant,task,joint,method,bias,conf_interval,r_squared,rmsd
participant_02,mmh,RShoulder_AA,Method1,0.04045362593740049,0.029556560183892976,0.8678760008970654,0.15613060824139438
participant_02,mmh,RShoulder_AA,Method2,0.03261872477817108,0.020621395566851233,0.944695698314504,0.11015161462928981
participant_02,mmh,RShoulder_RIE,Method1,-0.006319896850226349,0.013411507634471822,0.9704532138023853,0.06871729546245384
participant_02,mmh,RShoulder_RIE,Method2,-0.06816031871955737,0.01960508105708783,0.9548620039399108,0.12104137504226996
participant_02,mmh,RElbow_FE,Method1,-0.13611260481859822,0.006159636581962165,0.9940270505903008,0.1396935207800415
participant_02,mmh,RElbow_FE,Method2,-0.13443704247869,0.009621437729287221,0.9873646225597755,0.14311898955193508
participant_02,mmh,RElbow_PS,Method1,-0.18106594086251424,0.045139454667567594,0.807972322589966,0.2929581939805881
participant_02,mmh,RElbow_PS,Method2,,,,
participant_02,mmh,RWrist_FE,Method1,-0.2461366699576294,0.0152885180916081,0.46760740345568563,0.2582008378441964
participant_02,mmh,RWrist_FE,Method2,,,,
participant_02,exotic,RHip_FE,Method1,-0.06010490218578188,0.017665274555085545,0.9828855756332597,0.10833202306534807
participant_02,exotic,RHip_FE,Method2,,,,
participant_02,exotic,RHip_AA,Method1,-0.04839845796799668,0.006553308861608114,0.664555195126389,0.05882454104390828
participant_02,exotic,RHip_AA,Method2,,,,
participant_02,exotic,RKnee_FE,Method1,-0.14211522431895726,0.00543079472628428,0.9985150963225958,0.1447911523667587
participant_02,exotic,RKnee_FE,Method2,,,,
participant_02,exotic,RAnkle_FE,Method1,0.2322683927610208,0.01687169765749624,0.9110078264176764,0.24770625382812617
participant_02,exotic,RAnkle_FE,Method2,,,,
participant_02,exotic,L5S1_FE,Method1,-0.2134674939537353,0.02784425048843899,0.9675111902651008,0.2564178729909201
participant_02,exotic,L5S1_FE,Method2,,,,
participant_02,exotic,RShoulder_AA,Method1,0.1405753394402612,0.03479921299485576,0.6816909401261608,0.22646051547704502
participant_02,exotic,RShoulder_AA,Method2,,,,
participant_02,exotic,RShoulder_RIE,Method1,-0.2186218516908756,0.03769088576519025,0.6447115883118295,0.2911614197129243
participant_02,exotic,RShoulder_RIE,Method2,,,,
participant_02,exotic,RElbow_FE,Method1,-0.13455861651732484,0.010271771785794045,0.9310057771920758,0.1444039986063633
participant_02,exotic,RElbow_FE,Method2,,,,
participant_02,exotic,RElbow_PS,Method1,-0.1483317307987699,0.02978774843566223,0.6646638761234724,0.21236691966789964
participant_02,exotic,RElbow_PS,Method2,,,,
participant_02,exotic,RWrist_FE,Method1,-0.13780833989465038,0.01802113339433658,0.9728496479758705,0.16566514514237474
participant_02,exotic,RWrist_FE,Method2,,,,
participant_02,dance,RHip_FE,Method1,-0.056089888367785265,0.008508359032642096,0.821963550842435,0.06998995150452365
participant_02,dance,RHip_FE,Method2,,,,
participant_02,dance,RHip_AA,Method1,-0.03827728581970845,0.004503559254381308,0.9387085327384268,0.04422840519871792
participant_02,dance,RHip_AA,Method2,,,,
participant_02,dance,RKnee_FE,Method1,-0.12979953903851194,0.005115603666589335,0.9702946083703546,0.1322174214797915
participant_02,dance,RKnee_FE,Method2,,,,
participant_02,dance,RAnkle_FE,Method1,0.2301648407587712,0.013572332085857567,0.6404491315769016,0.2396566045934551
participant_02,dance,RAnkle_FE,Method2,,,,
participant_02,dance,L5S1_FE,Method1,-0.20022933734953088,0.01418300412448375,0.9242841838974347,0.21204137388805258
participant_02,dance,L5S1_FE,Method2,,,,
participant_02,dance,RShoulder_AA,Method1,-0.014903119987803524,0.031091330032966595,0.766209616899758,0.15370071811020644
participant_02,dance,RShoulder_AA,Method2,,,,
participant_02,dance,RShoulder_RIE,Method1,-0.041588782817267536,0.025375557145104623,0.9703928525505812,0.12573577929511284
participant_02,dance,RShoulder_RIE,Method2,,,,
participant_02,dance,RElbow_FE,Method1,-0.11262099009760121,0.009155624127255194,0.9839750419470369,0.12111626090345293
participant_02,dance,RElbow_FE,Method2,,,,
participant_02,dance,RElbow_PS,Method1,-0.1167118185315456,0.11154477884554101,0.19126917794430975,0.5494327276490797
participant_02,dance,RElbow_PS,Method2,,,,
participant_02,dance,RWrist_FE,Method1,-0.21268833929039874,0.029847292018181645,0.013819429462148647,0.25756374516536645
participant_02,dance,RWrist_FE,Method2,,,,
